分类,水乡名,choice,integration,connectivity
1,杭州1,0.13 ,0.69 ,0.41 
1,杭州2,0.34 ,0.80 ,0.54 
1,杭州3,0.19 ,0.75 ,0.61 
1,杭州4,0.18 ,0.74 ,0.47 
1,杭州5,0.28 ,0.77 ,0.53 
1,上海1,0.33 ,0.71 ,0.53 
1,上海2,0.28 ,0.72 ,0.44 
1,上海3,0.36 ,0.76 ,0.50 
1,上海4,0.31 ,0.75 ,0.46 
1,上海5,0.39 ,0.76 ,0.54 
1,苏州1,0.26 ,0.68 ,0.46 
1,苏州2,0.29 ,0.79 ,0.55 
1,苏州3,0.24 ,0.79 ,0.60 
1,苏州4,0.21 ,0.80 ,0.61 
1,苏州5,0.29 ,0.73 ,0.52 
2,杭州1,0.04 ,0.50 ,0.17 
2,杭州2,0.09 ,0.56 ,0.24 
2,杭州3,0.04 ,0.52 ,0.26 
2,杭州4,0.04 ,0.53 ,0.21 
2,杭州5,0.07 ,0.57 ,0.27 
2,上海1,0.14 ,0.55 ,0.31 
2,上海2,0.12 ,0.56 ,0.25 
2,上海3,0.16 ,0.59 ,0.28 
2,上海4,0.13 ,0.58 ,0.25 
2,上海5,0.17 ,0.59 ,0.30 
2,苏州1,0.11 ,0.51 ,0.24 
2,苏州2,0.12 ,0.61 ,0.29 
2,苏州3,0.08 ,0.57 ,0.30 
2,苏州4,0.07 ,0.60 ,0.34 
2,苏州5,0.11 ,0.55 ,0.30 
3,杭州1,0.01 ,0.28 ,0.06 
3,杭州2,0.03 ,0.30 ,0.07 
3,杭州3,0.01 ,0.27 ,0.07 
3,杭州4,0.01 ,0.28 ,0.06 
3,杭州5,0.02 ,0.31 ,0.09 
3,上海1,0.04 ,0.30 ,0.13 
3,上海2,0.04 ,0.31 ,0.10 
3,上海3,0.05 ,0.32 ,0.11 
3,上海4,0.04 ,0.32 ,0.10 
3,上海5,0.06 ,0.32 ,0.11 
3,苏州1,0.04 ,0.28 ,0.08 
3,苏州2,0.04 ,0.30 ,0.08 
3,苏州3,0.02 ,0.28 ,0.07 
3,苏州4,0.02 ,0.31 ,0.11 
3,苏州5,0.03 ,0.26 ,0.07 
